                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62972,                0.57028,                 1.1239,                0.99763,                      1,                  0.995,                0.87022,                0.46341,                0.53353,                 1.0261,               0.001307,               0.001307,               0.001307
                     37,                0.56143,                0.54251,                 1.0918,                0.99615,                      1,                  0.995,                0.84095,                0.53924,                0.53588,                 1.0991,              0.0012872,              0.0012872,              0.0012872
                     38,                  0.578,                0.51566,                 1.0882,                0.99553,                      1,                  0.995,                0.87114,                0.51607,                0.52317,                  1.038,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.5894,                0.53062,                 1.1112,                0.99518,                      1,                  0.995,                0.88111,                0.46985,                 0.5039,                0.99882,              0.0012476,              0.0012476,              0.0012476
                     40,                0.59354,                0.52151,                  1.095,                0.98541,                      1,                  0.995,                0.89472,                0.44769,                0.54416,                0.98574,              0.0012278,              0.0012278,              0.0012278
                     41,                0.53536,                0.48114,                 1.0643,                0.98261,                      1,                  0.995,                0.89676,                0.43661,                0.50553,                0.95014,               0.001208,               0.001208,               0.001208
                     42,                0.54159,                0.50478,                 1.0859,                0.96787,                      1,                0.99378,                0.90152,                0.42287,                0.52876,                0.95235,              0.0011882,              0.0011882,              0.0011882
                     43,                0.56406,                0.49568,                 1.1102,                0.99852,                      1,                  0.995,                0.89928,                0.36893,                0.40507,                0.90285,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58365,                0.51819,                 1.0859,                0.99803,                      1,                  0.995,                0.87529,                0.44302,                0.43895,                0.95097,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.5587,                0.48383,                 1.1125,                0.99727,                      1,                  0.995,                0.85751,                0.48211,                 0.4743,                0.99643,              0.0011288,              0.0011288,              0.0011288
                     46,                0.55274,                0.48958,                 1.0907,                      1,                0.99882,                  0.995,                0.76715,                0.74087,                0.69663,                 1.1624,               0.001109,               0.001109,               0.001109
                     47,                0.55479,                0.48594,                 1.0807,                0.92952,                      1,                0.99163,                0.81781,                0.57955,                0.61046,                 1.0288,              0.0010892,              0.0010892,              0.0010892
                     48,                0.58435,                0.52286,                 1.1148,                0.97357,                  0.975,                0.98679,                0.85316,                0.54893,                0.49652,                 1.0287,              0.0010694,              0.0010694,              0.0010694
                     49,                0.55163,                0.45685,                 1.0605,                0.99393,                      1,                  0.995,                0.86184,                0.48083,                0.44032,                0.98937,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52689,                0.45425,                 1.0502,                0.99853,                      1,                  0.995,                0.87094,                0.46266,                0.40664,                0.95508,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.5441,                0.46507,                 1.0991,                0.99744,                      1,                  0.995,                0.89723,                0.42585,                0.40972,                0.93323,                0.00101,                0.00101,                0.00101
                     52,                0.55774,                0.45072,                 1.1029,                0.99836,                      1,                  0.995,                0.89576,                0.45536,                0.41269,                0.98224,              0.0009902,              0.0009902,              0.0009902
                     53,                0.48611,                0.40579,                 1.0617,                0.99332,                      1,                  0.995,                 0.9086,                0.41674,                0.41055,                 0.9505,              0.0009704,              0.0009704,              0.0009704
                     54,                0.51828,                0.43874,                  1.073,                0.99655,                      1,                  0.995,                0.89152,                0.43733,                0.41055,                0.96986,              0.0009506,              0.0009506,              0.0009506
                     55,                0.49454,                 0.4338,                 1.0494,                0.99631,                      1,                  0.995,                0.88371,                0.43796,                0.43289,                 0.9649,              0.0009308,              0.0009308,              0.0009308
                     56,                0.50668,                0.45174,                 1.0443,                0.99809,                      1,                  0.995,                0.91611,                0.39583,                0.35793,                0.92347,               0.000911,               0.000911,               0.000911
                     57,                0.53407,                0.43488,                 1.0912,                0.99595,                      1,                  0.995,                0.91816,                0.39099,                 0.3391,                0.91347,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.5114,                0.43679,                 1.0395,                0.99809,                      1,                  0.995,                0.91072,                0.37478,                0.31834,                0.91091,              0.0008714,              0.0008714,              0.0008714
                     59,                0.53145,                0.43783,                 1.0589,                0.99851,                      1,                  0.995,                0.91831,                0.36448,                0.31909,                0.91357,              0.0008516,              0.0008516,              0.0008516
                     60,                0.53252,                0.44097,                 1.0689,                0.99859,                      1,                  0.995,                0.91291,                0.37313,                0.32369,                0.91196,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52853,                0.45654,                 1.0784,                0.99849,                      1,                  0.995,                0.91393,                0.38416,                0.33345,                0.91555,               0.000812,               0.000812,               0.000812
                     62,                0.50138,                0.42765,                 1.0524,                0.99824,                      1,                  0.995,                0.91645,                0.36091,                0.32238,                0.88904,              0.0007922,              0.0007922,              0.0007922
                     63,                0.49915,                0.40674,                  1.058,                0.99663,                      1,                  0.995,                0.92208,                0.36259,                 0.3011,                0.89596,              0.0007724,              0.0007724,              0.0007724
                     64,                0.45184,                0.37073,                 1.0456,                 0.9981,                      1,                  0.995,                0.92304,                0.37548,                0.31328,                0.89549,              0.0007526,              0.0007526,              0.0007526
                     65,                0.46764,                0.42175,                 1.0488,                0.99835,                      1,                  0.995,                 0.9088,                0.41667,                0.35073,                0.91766,              0.0007328,              0.0007328,              0.0007328
                     66,                0.49308,                 0.3694,                 1.0737,                0.99855,                      1,                  0.995,                0.91311,                 0.4027,                0.32711,                 0.9023,               0.000713,               0.000713,               0.000713
                     67,                0.50807,                0.40913,                  1.031,                 0.9984,                      1,                  0.995,                0.91433,                0.35934,                0.31071,                0.88471,              0.0006932,              0.0006932,              0.0006932
                     68,                0.47627,                0.38219,                 1.0379,                0.99856,                      1,                  0.995,                0.91421,                0.36659,                0.30068,                0.89594,              0.0006734,              0.0006734,              0.0006734
                     69,                0.45108,                0.41099,                 1.0254,                0.99858,                      1,                  0.995,                0.95753,                0.31643,                0.27473,                0.86743,              0.0006536,              0.0006536,              0.0006536
                     70,                0.46251,                0.39381,                 1.0215,                 0.9986,                      1,                  0.995,                0.94851,                0.30907,                0.26676,                0.86155,              0.0006338,              0.0006338,              0.0006338
                     71,                0.46171,                0.39577,                  1.028,                0.99863,                      1,                  0.995,                0.93326,                0.32694,                0.26414,                0.87218,               0.000614,               0.000614,               0.000614
                     72,                0.48425,                 0.4129,                 1.0487,                0.99855,                      1,                  0.995,                0.93907,                0.34944,                 0.2685,                0.89601,              0.0005942,              0.0005942,              0.0005942
                     73,                0.44356,                0.37299,                 1.0189,                0.99854,                      1,                  0.995,                0.95037,                0.31605,                0.27002,                0.87689,              0.0005744,              0.0005744,              0.0005744
                     74,                0.44932,                0.39796,                 1.0345,                0.99858,                      1,                  0.995,                0.94943,                0.31743,                0.26144,                0.86779,              0.0005546,              0.0005546,              0.0005546
                     75,                0.47243,                0.39232,                 1.0405,                 0.9985,                      1,                  0.995,                0.93817,                0.32365,                0.26446,                 0.8586,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45653,                0.37938,                 1.0352,                0.99847,                      1,                  0.995,                0.94663,                0.33218,                0.27185,                0.86497,               0.000515,               0.000515,               0.000515
                     77,                0.41461,                0.38893,                 1.0196,                0.99853,                      1,                  0.995,                0.94967,                0.33529,                0.26546,                0.87538,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.4158,                0.38309,                 1.0133,                 0.9985,                      1,                  0.995,                 0.9465,                 0.3479,                0.28863,                0.89326,              0.0004754,              0.0004754,              0.0004754
                     79,                0.42326,                0.34984,                 1.0103,                0.99853,                      1,                  0.995,                0.93157,                 0.3588,                0.31121,                0.90176,              0.0004556,              0.0004556,              0.0004556
                     80,                0.44373,                 0.3965,                 1.0401,                 0.9984,                      1,                  0.995,                0.93472,                0.34429,                0.29214,                0.88498,              0.0004358,              0.0004358,              0.0004358
                     81,                0.45335,                0.37548,                 1.0264,                0.99126,                      1,                  0.995,                0.93855,                0.32407,                0.27853,                0.87134,               0.000416,               0.000416,               0.000416
                     82,                 0.4447,                 0.3684,                  1.072,                0.97483,                      1,                  0.995,                0.95436,                0.31061,                0.26972,                0.85688,              0.0003962,              0.0003962,              0.0003962
                     83,                0.40759,                0.36101,                0.99896,                0.97364,                      1,                0.99378,                0.95723,                0.29559,                0.24447,                0.84733,              0.0003764,              0.0003764,              0.0003764
                     84,                0.40186,                0.35873,                 1.0051,                0.97399,                      1,                0.99256,                0.96593,                0.27822,                0.23692,                0.83906,              0.0003566,              0.0003566,              0.0003566
                     85,                0.41545,                0.35853,                0.98539,                0.97403,                      1,                0.99207,                0.96637,                0.28911,                0.25169,                0.84396,              0.0003368,              0.0003368,              0.0003368
                     86,                0.40485,                0.38319,                0.98417,                0.99805,                      1,                  0.995,                0.96197,                0.29457,                0.25931,                0.84386,               0.000317,               0.000317,               0.000317
